,X1,X2,corr,highest_corr,highest_k
909,21,41,,,['k =0']
910,21,42,,,['k =0']
911,21,43,,,['k =0']
912,21,44,,,['k =0']
913,21,45,,,['k =0']
914,21,46,,,['k =0']
915,21,47,,,['k =0']
916,21,48,,,['k =0']
917,21,49,,,['k =0']
918,21,50,,,['k =0']
919,21,51,,,['k =0']
920,21,52,,,['k =0']
921,21,53,,,['k =0']
922,21,54,,,['k =0']
923,21,55,,,['k =0']
924,22,23,,,['k =0']
925,22,24,,,['k =0']
926,22,25,,,['k =0']
927,22,26,,,['k =0']
928,22,27,,,['k =0']
929,22,28,,,['k =0']
930,22,29,,,['k =0']
931,22,30,,,['k =0']
932,22,31,,,['k =0']
933,22,32,,,['k =0']
934,22,33,,,['k =0']
935,22,34,,,['k =0']
936,22,35,,,['k =0']
937,22,36,,,['k =0']
938,22,37,,,['k =0']
939,22,38,,,['k =0']
940,22,39,,,['k =0']
941,22,40,,,['k =0']
942,22,41,,,['k =0']
943,22,42,,,['k =0']
944,22,43,,,['k =0']
945,22,44,,,['k =0']
946,22,45,,,['k =0']
947,22,46,,,['k =0']
948,22,47,,,['k =0']
949,22,48,,,['k =0']
950,22,49,,,['k =0']
951,22,50,,,['k =0']
952,22,51,,,['k =0']
953,22,52,,,['k =0']
954,22,53,,,['k =0']
955,22,54,,,['k =0']
956,22,55,,,['k =0']
957,23,24,,,['k =0']
958,23,25,,,['k =0']
959,23,26,,,['k =0']
960,23,27,,,['k =0']
961,23,28,,,['k =0']
962,23,29,,,['k =0']
963,23,30,,,['k =0']
964,23,31,,,['k =0']
965,23,32,,,['k =0']
966,23,33,,,['k =0']
967,23,34,,,['k =0']
968,23,35,,,['k =0']
969,23,36,,,['k =0']
970,23,37,,,['k =0']
971,23,38,,,['k =0']
972,23,39,,,['k =0']
973,23,40,,,['k =0']
974,23,41,,,['k =0']
975,23,42,,,['k =0']
976,23,43,,,['k =0']
977,23,44,,,['k =0']
978,23,45,,,['k =0']
979,23,46,,,['k =0']
980,23,47,,,['k =0']
981,23,48,,,['k =0']
982,23,49,,,['k =0']
983,23,50,,,['k =0']
984,23,51,,,['k =0']
985,23,52,,,['k =0']
986,23,53,,,['k =0']
987,23,54,,,['k =0']
988,23,55,,,['k =0']
